validation_pair_id,method,candidate_index,gene_symbol,gene_entrez_id,median_rank_percentile,mean_rank_percentile,q1_rank_percentile,q3_rank_percentile,min_rank_percentile,max_rank_percentile,seed_0_rank_percentile,seed_10_rank_percentile,seed_20_rank_percentile,seed_30_rank_percentile,seed_40_rank_percentile,seed_50_rank_percentile,seed_60_rank_percentile,seed_70_rank_percentile,seed_80_rank_percentile,seed_90_rank_percentile
0b6e90823e26241bd2b2,HANAMI,6436,ESR2,2100,17.29402192531689,18.077894826995546,16.184909215484755,21.019077595066804,0.4624871531346352,30.36784857828023,20.227389516957864,17.56808838643371,16.396882494004796,28.965399109284,30.36784857828023,16.114251455978074,0.4624871531346352,12.373672490578965,17.01995546420007,21.282973621103118
0b6e90823e26241bd2b2,TriMoGCL,6436,ESR2,2100,31.791709489551216,35.31967283316204,21.07367677286742,39.10318174032203,11.10183281945872,91.55104487838301,36.25599520383693,27.273895169578623,91.55104487838301,33.81723192874272,19.00693730729702,11.10183281945872,15.711716341212744,48.659643713600545,40.05224391915039,29.76618705035971
0b6e90823e26241bd2b2,TriNet,6436,ESR2,2100,51.09519527235355,54.337101747173676,39.8343824940048,72.55213686193902,17.503854059609456,91.91503939705379,34.00993490921549,44.0433367591641,59.49811579307982,78.87547105173005,50.55883864337102,17.503854059609456,76.90347721822542,38.431397738951695,91.91503939705379,51.631551901336074
0b6e90823e26241bd2b2,N2V-MLP,6436,ESR2,2100,28.64208633093525,36.88099520383693,23.523681055155876,51.615493319630005,14.052329564919493,71.7583076396026,15.945101062007536,30.522010962658445,26.762161699212058,57.10645769099006,23.239979445015415,24.374785885577253,14.052329564919493,35.14260020554985,71.7583076396026,69.90621788283659
0b6e90823e26241bd2b2,RF,6436,ESR2,2100,73.49370503597122,74.98351318944844,71.06082990750257,79.84888874614595,58.33868619390202,93.57014388489209,70.55284343953409,68.04877526550189,79.956748886605,79.52530832476876,72.83423261390887,72.58478931140802,80.27042651593011,58.33868619390202,93.57014388489209,74.15317745803357
ddf75a3c8844282064ac,HANAMI,17623,DRD3,1814,12.946428571428571,13.006380609797876,9.812328708461802,15.45210260363138,6.759592326139089,19.306697499143542,18.75428228845495,12.692702980472765,15.431226447413497,13.200154162384377,19.306697499143542,6.759592326139089,7.727389516957862,11.474391915039398,9.258307639602604,15.459061322370674
ddf75a3c8844282064ac,HANAMI,18047,DRD2,1813,5.328237410071942,5.886647824597465,2.689277149708804,8.303892600205549,1.603717026378897,12.696985268927715,12.696985268927715,8.389003083247687,10.026978417266188,3.1860226104830422,2.7406646111682083,2.0319458718739294,2.672147995889003,7.470452209660842,1.603717026378897,8.048561151079136
ddf75a3c8844282064ac,TriMoGCL,17623,DRD3,1814,15.080078794107571,23.60418807810894,12.296056012332992,23.63555584104145,7.153562863994519,65.7245632065776,51.293251113395,16.852946214457006,12.187392942788627,12.088900308324769,65.7245632065776,24.865107913669064,19.946899623158615,13.307211373758136,7.153562863994519,12.622045220966084
ddf75a3c8844282064ac,TriMoGCL,18047,DRD2,1813,6.526207605344297,12.33277663583419,3.918293936279548,16.08159900650908,2.541538198013018,36.84052757793765,36.84052757793765,8.200582391229874,16.915039397053786,4.34224049331963,28.744861253854058,3.5328879753340185,13.581277834874957,4.851832819458719,2.541538198013018,3.776978417266187
ddf75a3c8844282064ac,TriNet,17623,DRD3,1814,29.558496060294623,40.380481329222334,14.968204008221994,74.38120931825968,1.44741349777321,81.69964028776978,81.69964028776978,74.53323055841041,1.5715998629667693,24.252740664611167,81.24571771154505,73.92514559780747,1.44741349777321,14.803871188763274,15.46120246659815,34.86425145597808
