validation_pair_id,condition_group,drug_name,disease_label,method,candidate_count,best_candidate_index,best_gene_symbol,best_gene_entrez_id,selection_rule,median_rank_percentile,mean_rank_percentile,q1_rank_percentile,q3_rank_percentile,min_rank_percentile,max_rank_percentile,seed_0_rank_percentile,seed_10_rank_percentile,seed_20_rank_percentile,seed_30_rank_percentile,seed_40_rank_percentile,seed_50_rank_percentile,seed_60_rank_percentile,seed_70_rank_percentile,seed_80_rank_percentile,seed_90_rank_percentile
01604954dcf078d34dca,prostate_oncology,meloxicam,Prostatic Neoplasms,HANAMI,1,11438,PTGS2,5743,lowest ten-seed median rank percentile; ties by mean then index,5.238309352517986,6.670948955121617,1.9168593696471394,8.403991092840013,0.4539225762247345,19.084018499486124,19.084018499486124,8.483213429256594,8.16632408359027,1.672233641658102,2.6507365536142515,0.4539225762247345,1.1262418636519356,3.8883179170948954,14.596180198698184,6.588300787941075
01604954dcf078d34dca,prostate_oncology,meloxicam,Prostatic Neoplasms,TriMoGCL,1,11438,PTGS2,5743,lowest ten-seed median rank percentile; ties by mean then index,14.719295991778006,20.826267557382664,4.735675745118192,37.2066632408359,1.2204522096608428,49.45829051044878,24.301986981843097,3.7041795135320315,41.5082219938335,7.83016443987667,14.347807468311066,1.2204522096608428,49.45829051044878,2.907673860911271,47.89311408016444,15.090784515244946
01604954dcf078d34dca,prostate_oncology,meloxicam,Prostatic Neoplasms,TriNet,1,11438,PTGS2,5743,lowest ten-seed median rank percentile; ties by mean then index,52.44839842411785,44.502398081534764,24.0172147995889,58.819373072970194,14.028776978417266,71.22088043850634,32.43833504624872,48.42411784857828,59.02064063035286,58.2155704008222,20.041109969167522,14.028776978417266,56.47267899965742,71.22088043850634,63.95169578622816,21.21017471736896
01604954dcf078d34dca,prostate_oncology,meloxicam,Prostatic Neoplasms,N2V-MLP,1,11438,PTGS2,5743,lowest ten-seed median rank percentile; ties by mean then index,38.84785029119561,42.25419664268585,34.725612367249056,50.56900907845153,31.770298047276466,58.78939705378554,35.5686879068174,53.879753340185,55.85817060637204,33.89859540938678,38.51276121959575,31.770298047276466,34.44458718739294,39.18293936279548,58.78939705378554,40.63677629325111
01604954dcf078d34dca,prostate_oncology,meloxicam,Prostatic Neoplasms,RF,1,11438,PTGS2,5743,lowest ten-seed median rank percentile; ties by mean then index,44.12523552586502,41.43328194587187,30.892696557040082,52.56402021240151,14.37671291538198,72.71754025351147,45.395469338814664,32.92330421377184,47.316075710859884,56.61292394655704,30.215827338129497,14.37671291538198,54.31333504624872,42.85500171291538,72.71754025351147,17.606628982528264
01c197fb7e9ff00f43f8,cardiovascular_hypertensive,fluoxetine,Hypertension,HANAMI,1,39165,HTR2B,3357,lowest ten-seed median rank percentile; ties by mean then index,13.838215142171977,16.320443645083934,11.843739294278862,17.79933196300103,2.0726276121959577,37.80618362452895,11.532202809181227,12.778348749571771,17.94492977046934,17.362538540596095,24.665981500513876,14.59832134292566,2.0726276121959577,37.80618362452895,11.365193559438163,13.078108941418295
01c197fb7e9ff00f43f8,cardiovascular_hypertensive,fluoxetine,Hypertension,TriMoGCL,1,39165,HTR2B,3357,lowest ten-seed median rank percentile; ties by mean then index,10.336373758136348,12.490364850976361,3.081641829393628,13.470473621103118,0.7601062007536827,36.08042137718397,3.738437821171634,9.311836245289483,0.7601062007536827,11.360911270983214,32.53896882494005,13.17660157588215,2.8627098321342928,36.08042137718397,1.5052243919150394,13.568430969510107
01c197fb7e9ff00f43f8,cardiovascular_hypertensive,fluoxetine,Hypertension,TriNet,1,39165,HTR2B,3357,lowest ten-seed median rank percentile; ties by mean then index,1.734326824254882,2.214157245632066,0.47265758821514214,3.1699640287769784,0.02355258650222679,6.237153134635149,3.1731757451181912,0.19912641315519014,1.7557382665296335,4.440733127783488,3.16032887975334,1.2932511133949982,1.7129153819801302,0.14559780746831105,0.02355258650222679,6.237153134635149
01c197fb7e9ff00f43f8,cardiovascular_hypertensive,fluoxetine,Hypertension,N2V-MLP,1,39165,HTR2B,3357,lowest ten-seed median rank percentile; ties by mean then index,2.435551558752998,5.621574169236039,0.9843910585817062,9.599284857828023,0.13060979787598492,18.471651250428227,1.5287769784172662,11.435851318944843,1.8114080164439876,14.25787941075711,0.13060979787598492,18.471651250428227,4.089585474477561,3.0596951010620077,0.8029290853031861,0.6273552586502227
01c197fb7e9ff00f43f8,cardiovascular_hypertensive,fluoxetine,Hypertension,RF,1,39165,HTR2B,3357,lowest ten-seed median rank percentile; ties by mean then index,29.27961202466598,33.86348064405619,23.901860654333674,39.1722336416581,10.474477560808497,76.22152278177458,23.60504453579993,30.84746488523467,39.63900308324769,76.22152278177458,37.771925316889345,24.792309009934907,27.711759164097295,47.707905104487836,10.474477560808497,19.863394998287085
