method,n_pairs,mean_pair_rank_percentile,median_pair_rank_percentile,q1_pair_rank_percentile,q3_pair_rank_percentile
HANAMI,405,15.752684889125735,12.692702980472765,6.264988009592326,21.79577766358342
TriMoGCL,405,17.62506264829406,13.567360397396369,6.873072970195272,25.115621788283658
TriNet,405,29.661919934951513,25.3447242206235,14.786742034943474,42.69762761219596
N2V-MLP,405,20.1531314630835,15.88621959575197,8.992805755395684,27.764217197670433
RF,405,26.17301000469466,21.38467797190819,8.549053614251456,41.01201181911614
