motif_id	candidate_index	disease_local_id	disease_name	disease_mesh_id	drug_local_id	drug_name	drugbank_id	gene_local_id	gene_symbol	gene_entrez_id	evidence_source	HANAMI_motif_percentile	TriMoGCL_motif_percentile	TriNet_motif_percentile	N2V_MLP_motif_percentile	RF_motif_percentile	supporting_trials
119	33510	190	Schizophrenia	D012559	34	lorazepam	DB00186	2538	GABRA1	2554	strict_phase2_3_disease_directed_title	5.6772439192	8.5510877013	16.2570657760	7.2237923947	12.6572670435	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
121	32393	190	Schizophrenia	D012559	174	pramipexole	DB00413	2440	ADRA2A	150	strict_phase2_3_disease_directed_title	6.4155104488	4.3041281261	55.7076481672	36.9617163412	47.7444116136	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
124	41621	190	Schizophrenia	D012559	641	escitalopram	DB01175	3415	CHRM1	1128	strict_phase2_3_disease_directed_title	6.9167523124	3.9120846180	77.3991521069	52.8624957177	84.8676772867	NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia
128	41426	190	Schizophrenia	D012559	50	trospium	DB00209	3415	CHRM1	1128	strict_phase2_3_disease_directed_title	7.9950325454	14.8070829051	89.0088643371	62.6432425488	88.3652363823	NCT07084831[PHASE3] A Study Evaluating the Efficacy of Xanomeline/Trospium (XT) on Cognitive Impairment After 24 and 52 Weeks of Treatment in Adult Participants With Schizophrenia
138	5048	190	Schizophrenia	D012559	174	pramipexole	DB00413	259	HTR2C	3358	strict_phase2_3_disease_directed_title	8.4228331620	3.9358513189	41.4073741007	25.1832819459	31.8956620418	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
169	30410	190	Schizophrenia	D012559	641	escitalopram	DB01175	2215	SLC6A4	6532	strict_phase2_3_disease_directed_title	13.2442617335	3.5143670778	53.7911099692	30.0181997259	38.4854616307	NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia
170	30139	190	Schizophrenia	D012559	99	atomoxetine	DB00289	2215	SLC6A4	6532	strict_phase2_3_disease_directed_title	13.0999486125	4.7764645427	49.4064748201	21.7557382665	36.1933667352	NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia
183	42911	190	Schizophrenia	D012559	34	lorazepam	DB00186	3668	GABRA5	2558	strict_phase2_3_disease_directed_title	10.2903391572	11.3324340528	31.6934309695	27.7417351833	44.5621360055	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
185	30189	190	Schizophrenia	D012559	181	methylphenidate	DB00422	2215	SLC6A4	6532	strict_phase2_3_disease_directed_title	14.3150479616	9.2540253511	57.6687221651	35.0905704008	45.5743619390	NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes
207	38985	190	Schizophrenia	D012559	641	escitalopram	DB01175	3104	SLC6A2	6530	strict_phase2_3_disease_directed_title	12.8704179514	3.6874785886	34.4452295307	28.7705549846	28.3089242891	NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia
210	38797	190	Schizophrenia	D012559	99	atomoxetine	DB00289	3104	SLC6A2	6530	strict_phase2_3_disease_directed_title	12.9569201781	4.8965827338	33.3048561151	19.3351747174	36.4553357314	NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia
218	27888	190	Schizophrenia	D012559	174	pramipexole	DB00413	2081	DRD1	1812	strict_phase2_3_disease_directed_title	7.5755823912	4.3518756423	69.6537769784	39.8982956492	60.2353117506	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
224	45076	190	Schizophrenia	D012559	34	lorazepam	DB00186	3903		2566	strict_phase2_3_disease_directed_title	9.2077766358	12.4490407674	37.4680969510	19.5171719767	14.3663283659	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
