candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
44,81,81,D050197,Atherosclerosis,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
45,162,162,D003866,Depressive Disorder,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
46,169,169,D005076,Exanthema,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
47,215,215,D003110,Colonic Neoplasms,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
48,218,218,D008527,Medulloblastoma,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
49,237,237,D011537,Pruritus,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
50,240,240,D004485,Eczema,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
51,248,248,D002294,"Carcinoma, Squamous Cell",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
52,260,260,D002545,Brain Ischemia,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
53,262,262,D005334,Fever,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
54,264,264,D002289,"Carcinoma, Non-Small-Cell Lung",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
55,266,266,D013274,Stomach Neoplasms,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
56,283,283,D015470,"Leukemia, Myeloid, Acute",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
57,349,349,D001327,Autoimmune Diseases,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
58,365,365,D001851,"Bone Diseases, Metabolic",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
59,461,461,D012883,Skin Ulcer,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
60,472,472,D009362,Neoplasm Metastasis,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
61,483,483,D010304,Paronychia,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
62,524,524,D000077195,Squamous Cell Carcinoma of Head and Neck,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
63,588,588,D000230,Adenocarcinoma,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
64,644,644,D003922,"Diabetes Mellitus, Type 1",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
65,645,645,D001171,"Arthritis, Juvenile",869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
66,646,646,D005891,Gingivitis,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
67,6,6,D001943,Breast Neoplasms,1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
68,418,418,D011628,"Puberty, Delayed",1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
69,472,472,D009362,Neoplasm Metastasis,1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
70,548,548,D017202,Myocardial Ischemia,1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
71,577,577,D002769,Cholelithiasis,1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
72,594,594,D002764,Cholecystitis,1118,1812,DB01593,zinc,6,1972,226,ALDOA,True,True,False,gene_star
73,65,65,D000686,Amyloidosis,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
74,80,80,D000544,Alzheimer Disease,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
75,85,85,D020521,Stroke,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
