clinical_set_index,validation_pair_id,evidence_subset,evidence_review_status,condition_group,disease_local_id,disease_label,disease_cui,disease_mesh_id,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_intermediaries,gene_symbols,gene_entrez_ids,candidate_indices,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_positive_seeds,ms_drug_disease_edge_present,has_exact_raw_drug_disease_bridge,hierarchy_specificity_flag,condition_match_kind,n_phase2_3_trials,phase2_3_phases,nct_ids,source_urls,example_trial_title,evidence_notes,source_table
0,0b6e90823e26241bd2b2,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1018,1712,DB01708,Dehydroepiandrosterone,ESR2|2100|pool:6436,ESR2,2100,6436,1,17.29402192531689,16.184909215484755,21.019077595066804,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT00001487,https://clinicaltrials.gov/study/NCT00001487,Treatment of Mid-Life-Related Mood Disorders,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
1,ddf75a3c8844282064ac,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,159,853,DB00391,SULPIRIDE,DRD2|1813|pool:18047; DRD3|1814|pool:17623,DRD2; DRD3,1813; 1814,18047;17623,2,5.328237410071942,2.689277149708804,8.303892600205549,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
2,7ccbfeae030b9887bc1e,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,814,1508,DB06144,Sertindole,DRD2|1813|pool:18908; HTR2A|3356|pool:23340; HTR2C|3358|pool:5280; ADRA1A|148|pool:44643,DRD2; HTR2A; HTR2C; ADRA1A,1813; 3356; 3358; 148,18908;23340;5280;44643,4,4.591683795820487,3.0800359712230216,8.8707605344296,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
3,d2373fcd04bb239946b6,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1263,1957,DB00679,Thioridazine,DRD2|1813|pool:19396; HTR2A|3356|pool:23692; ADRA1A|148|pool:44722,DRD2; HTR2A; ADRA1A,1813; 3356; 148,19396;23692;44722,3,5.967368961973278,4.299952894826996,10.392043508050705,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
4,8f8fdd245fd932ed21a7,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,115,809,DB00321,amitriptyline,CHRM3|1131|pool:21205; HTR2A|3356|pool:22662; HTR1A|3350|pool:29355; ADRA1A|148|pool:44423; SLC6A4|6532|pool:30148; HTR2C|3358|pool:5014; SLC6A2|6530|pool:38802; HTR1B|3351|pool:9911,CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; HTR2C; SLC6A2; HTR1B,1131; 3356; 3350; 148; 6532; 3358; 6530; 3351,21205;22662;29355;44423;30148;5014;38802;9911,8,6.062649880095924,4.647888831791709,13.3318345323741,10,False,False,True,broader_narrower_depressive_spectrum,4,PHASE2;PHASE3,NCT00351910;NCT01049347;NCT02014363;NCT02374567,https://clinicaltrials.gov/study/NCT00351910;https://clinicaltrials.gov/study/NCT01049347;https://clinicaltrials.gov/study/NCT02014363;https://clinicaltrials.gov/study/NCT02374567,Efficacy of Seroquel SR in Combination With an Antidepressant in Treatment of Major Depressive Disorder,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
5,83e9bec649a64111a392,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,152,846,DB00381,amlodipine,CACNA1C|775|pool:748,CACNA1C,775,748,1,17.33791538198013,14.86810551558753,19.987046077423777,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT01557153,https://clinicaltrials.gov/study/NCT01557153,Vascular Augmentation of Late-life Unremitted Depression (VALUeD),Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
6,75591bacc1ced0262beb,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,686,1380,DB01238,aripiprazole,DRD2|1813|pool:18729; HTR2A|3356|pool:23201; CHRM3|1131|pool:21681; HTR1A|3350|pool:29613; ADRA1A|148|pool:44611; DRD3|1814|pool:17759; HTR2C|3358|pool:5246; DRD4|1815|pool:19600; HTR3A|3359|pool:43237,DRD2; HTR2A; CHRM3; HTR1A; ADRA1A; DRD3; HTR2C; DRD4; HTR3A,1813; 3356; 1131; 3350; 148; 1814; 3358; 1815; 3359,18729;23201;21681;29613;44611;17759;5246;19600;43237,9,4.197713257965057,2.020169578622816,8.48535457348407,10,False,False,True,broader_narrower_depressive_spectrum,10,PHASE1|PHASE2;PHASE3,NCT00276978;NCT00556140;NCT01111539;NCT01111552;NCT01111565;NCT01123707;NCT01386086;NCT01655706;NCT02374567;NCT05814640,https://clinicaltrials.gov/study/NCT00276978;https://clinicaltrials.gov/study/NCT00556140;https://clinicaltrials.gov/study/NCT01111539;https://clinicaltrials.gov/study/NCT01111552;https://clinicaltrials.gov/study/NCT01111565;https://clinicaltrials.gov/study/NCT01123707;https://clinicaltrials.gov/study/NCT01386086;https://clinicaltrials.gov/study/NCT01655706;https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT05814640,Aripiprazole Augmentation Therapy in Treatment-resistant Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
7,3ebfdadd5b5b8ddb0e8b,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,826,1520,DB06216,asenapine,DRD2|1813|pool:18944; HTR2A|3356|pool:23366; HTR1A|3350|pool:29694; ADRA1A|148|pool:44649; HTR2C|3358|pool:5294; DRD3|1814|pool:17806; HTR1B|3351|pool:10101; DRD4|1815|pool:19628,DRD2; HTR2A; HTR1A; ADRA1A; HTR2C; DRD3; HTR1B; DRD4,1813; 3356; 3350; 148; 3358; 1814; 3351; 1815,18944;23366;29694;44649;5294;17806;10101;19628,8,4.473920863309353,2.709082733812949,8.638446385748544,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT01807741,https://clinicaltrials.gov/study/NCT01807741,Asenapine for Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
8,0a218ada09aa42a2e904,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,496,1190,DB00945,aspirin,PTGS2|5743|pool:11697,PTGS2,5743,11697,1,2.3980815347721824,1.815690304898938,3.8401421719767046,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT01429272,https://clinicaltrials.gov/study/NCT01429272,Minocycline and Aspirin in the Treatment of Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
9,2086ba372427ed33d277,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1180,1874,DB12867,benperidol,DRD2|1813|pool:19159,DRD2,1813,19159,1,6.682511133949983,3.9712872559095582,9.380352860568689,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
10,d80493dfd40cbd5a2783,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,418,1112,DB00810,biperiden,CHRM3|1131|pool:21541,CHRM3,1131,21541,1,7.954350805070229,7.032052929085303,10.22128725590956,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
11,b0b49e3e3ffed2ecccde,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1183,1877,DB12401,bromperidol,DRD2|1813|pool:19196,DRD2,1813,19196,1,5.79821856800274,3.7448612538540593,10.23413412127441,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
12,940209b2e904432d41e3,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,813,1507,DB06016,cariprazine,DRD2|1813|pool:18890; HTR2A|3356|pool:23327; HTR1A|3350|pool:29678; DRD3|1814|pool:17792,DRD2; HTR2A; HTR1A; DRD3,1813; 3356; 3350; 1814,18890;23327;29678;17792,4,6.260170435080507,4.150072798903734,9.5516443987667,10,False,False,True,broader_narrower_depressive_spectrum,11,PHASE2;PHASE3,NCT00852202;NCT01396447;NCT01469377;NCT01715805;NCT01838876;NCT02670538;NCT02670551;NCT03573297;NCT03738215;NCT03739203;NCT04777357,https://clinicaltrials.gov/study/NCT00852202;https://clinicaltrials.gov/study/NCT01396447;https://clinicaltrials.gov/study/NCT01469377;https://clinicaltrials.gov/study/NCT01715805;https://clinicaltrials.gov/study/NCT01838876;https://clinicaltrials.gov/study/NCT02670538;https://clinicaltrials.gov/study/NCT02670551;https://clinicaltrials.gov/study/NCT03573297;https://clinicaltrials.gov/study/NCT03738215;https://clinicaltrials.gov/study/NCT03739203;https://clinicaltrials.gov/study/NCT04777357,Safety and Efficacy of RGH-188 (Cariprazine) in Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
13,0d652e245046d28305ff,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,218,912,DB00482,celecoxib,PTGS2|5743|pool:10787,PTGS2,5743,10787,1,6.160071942446043,3.925252655018842,11.779504967454608,10,False,False,True,broader_narrower_depressive_spectrum,3,PHASE3,NCT02703363;NCT02726659;NCT05644301,https://clinicaltrials.gov/study/NCT02703363;https://clinicaltrials.gov/study/NCT02726659;https://clinicaltrials.gov/study/NCT05644301,Minocycline and Celecoxib as Adjunctive Treatments of Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
14,65d9a4b80cfaae6639a8,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,687,1381,DB01239,chlorprothixene,DRD2|1813|pool:18746; HTR2A|3356|pool:23212; CHRM3|1131|pool:21691; DRD3|1814|pool:17764; HTR2C|3358|pool:5252,DRD2; HTR2A; CHRM3; DRD3; HTR2C,1813; 3356; 1131; 1814; 3358,18746;23212;21691;17764;5252,5,4.82935080507023,3.304856115107913,8.66253425830764,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
15,659362fcc0493e1fb186,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,690,1384,DB01242,clomipramine,HTR2A|3356|pool:23223; SLC6A4|6532|pool:30429; HTR2C|3358|pool:5258; SLC6A2|6530|pool:38995,HTR2A; SLC6A4; HTR2C; SLC6A2,3356; 6532; 3358; 6530,23223;30429;5258;38995,4,5.651550188420693,5.232421205892429,8.792073484069887,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
16,410cf72b2b01e6cbba3b,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,141,835,DB00363,clozapine,DRD2|1813|pool:18012; CHRM3|1131|pool:21236; HTR2A|3356|pool:22686; HTR1A|3350|pool:29369; DRD3|1814|pool:17609; HTR2C|3358|pool:5026; ADRA1A|148|pool:44428; HTR1B|3351|pool:9924; HTR3A|3359|pool:43150,DRD2; CHRM3; HTR2A; HTR1A; DRD3; HTR2C; ADRA1A; HTR1B; HTR3A,1813; 1131; 3356; 3350; 1814; 3358; 148; 3351; 3359,18012;21236;22686;29369;17609;5026;44428;9924;43150,9,4.727646454265159,2.2674717368961974,9.140009421034602,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE3,NCT02374567;NCT05603104,https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT05603104,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
17,318c83ff461d5047bc9c,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,241,935,DB00531,cyclophosphamide,CYP2D6|1565|pool:40234; CYP2C19|1557|pool:33159,CYP2D6; CYP2C19,1565; 1557,40234;33159,2,31.1247430626927,19.556676087701263,60.622751798561154,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT00424203,https://clinicaltrials.gov/study/NCT00424203,"Doxorubicin and Cyclophosphamide in Treating Older Women With Stage I, Stage II, or Stage III Breast Cancer That Has Been Removed By Surgery",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
18,48923d3731360105e864,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,628,1322,DB01151,desipramine,DRD2|1813|pool:18621; CHRM3|1131|pool:21649; HTR2A|3356|pool:23149; HTR1A|3350|pool:29580; ADRA1A|148|pool:44590; SLC6A4|6532|pool:30399; SLC6A2|6530|pool:38960; HTR2C|3358|pool:5210,DRD2; CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; SLC6A2; HTR2C,1813; 1131; 3356; 3350; 148; 6532; 6530; 3358,18621;21649;23149;29580;44590;30399;38960;5210,8,3.798389859540939,2.687136005481329,8.459660842754367,10,False,False,True,broader_narrower_depressive_spectrum,3,PHASE3,NCT00329147;NCT00338962;NCT00366652,https://clinicaltrials.gov/study/NCT00329147;https://clinicaltrials.gov/study/NCT00338962;https://clinicaltrials.gov/study/NCT00366652,Study Evaluating the Effects of DVS SR and Paroxetine on the Pharmacokinetics of Desipramine in Healthy Subjects,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
19,88e78091b6402cffd9fa,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,274,968,DB00586,diclofenac,PTGS2|5743|pool:11030,PTGS2,5743,11030,1,4.397910243233984,3.5355644056183624,7.080763960260363,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE1|PHASE2,NCT01413854,https://clinicaltrials.gov/study/NCT01413854,Diclofenac add-on to Treatment as Usual for Suicidal Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
20,8358fa67bc531dc3e5cd,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,437,1131,DB00843,donepezil,HTR2A|3356|pool:22989,HTR2A,3356,22989,1,9.828922576224734,7.575368276807126,12.089970880438504,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
21,e118d5524e647081fe49,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,623,1317,DB01142,doxepin,DRD2|1813|pool:18604; HTR2A|3356|pool:23124; CHRM3|1131|pool:21639; HTR1A|3350|pool:29565; SLC6A4|6532|pool:30380; ADRA1A|148|pool:44584; SLC6A2|6530|pool:38949; HTR2C|3358|pool:5197,DRD2; HTR2A; CHRM3; HTR1A; SLC6A4; ADRA1A; SLC6A2; HTR2C,1813; 3356; 1131; 3350; 6532; 148; 6530; 3358,18604;23124;21639;29565;30380;44584;38949;5197,8,3.9825282631038026,2.570443645083933,7.356971565604659,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
22,86e04359aaeb3585e220,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,400,1094,DB00783,estradiol,ESR2|2100|pool:6338,ESR2,2100,6338,1,18.25004282288455,14.49233470366564,23.041388317917097,10,False,False,True,broader_narrower_depressive_spectrum,4,PHASE2;PHASE2|PHASE3,NCT00001481;NCT01126801;NCT01308814;NCT03689543,https://clinicaltrials.gov/study/NCT00001481;https://clinicaltrials.gov/study/NCT01126801;https://clinicaltrials.gov/study/NCT01308814;https://clinicaltrials.gov/study/NCT03689543,The Role of Hormones in Postpartum Mood Disorders,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
23,cf94f7b17957a52c73b4,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,460,1154,DB00875,flupentixol,DRD2|1813|pool:18443; HTR2A|3356|pool:23016; ADRA1A|148|pool:44549; DRD3|1814|pool:17699,DRD2; HTR2A; ADRA1A; DRD3,1813; 3356; 148; 1814,18443;23016;44549;17699,4,5.653691332648167,2.723000171291538,10.001284686536485,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
24,8fc8fb9f6ee9183a27b8,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,296,990,DB00623,fluphenazine,DRD2|1813|pool:18299; HTR2A|3356|pool:22875; HTR2C|3358|pool:5117,DRD2; HTR2A; HTR2C,1813; 3356; 3358,18299;22875;5117,3,4.210560123329907,2.5554556354916067,8.345644912641315,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
25,873a9148104e0f54abf0,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,785,1479,DB04842,fluspirilene,DRD2|1813|pool:18835; HTR2A|3356|pool:23288; HTR1A|3350|pool:29653,DRD2; HTR2A; HTR1A,1813; 3356; 3350,18835;23288;29653,3,6.111896197327852,3.632451181911613,9.43655789653991,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
26,96e4541599e2ee4f24ef,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,27,721,DB00176,fluvoxamine,SLC6A4|6532|pool:30065,SLC6A4,6532,30065,1,11.430498458376157,9.77753511476533,14.642750085645767,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT02374567;NCT04160377,https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT04160377,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
27,cfb79e0d10977fc3f5cd,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,535,1229,DB00996,gabapentin,CACNA1C|775|pool:840,CACNA1C,775,840,1,13.92064919492977,10.032331277834874,18.82975762247345,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT00654953;NCT02374567,https://clinicaltrials.gov/study/NCT00654953;https://clinicaltrials.gov/study/NCT02374567,"Clinical Efficacy of Sertraline Augmented With Gabapentin in Depressed, Recently Abstinent Cocaine-dependent Humans",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
28,daca720e1fbeb0dc0d8b,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,229,923,DB00502,haloperidol,DRD2|1813|pool:18171; HTR2A|3356|pool:22798; HTR1A|3350|pool:29409; DRD3|1814|pool:17665; DRD4|1815|pool:19495,DRD2; HTR2A; HTR1A; DRD3; DRD4,1813; 3356; 3350; 1814; 1815,18171;22798;29409;17665;19495,5,3.70953237410072,2.5088857485440217,7.147139431312093,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
29,eb518afb4121806f60fe,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,567,1261,DB01050,ibuprofen,PTGS2|5743|pool:12063,PTGS2,5743,12063,1,3.985739979445016,3.247045220966084,6.59097721822542,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2|PHASE3,NCT02507219,https://clinicaltrials.gov/study/NCT02507219,Study of Ibuprofen Effects on Brain Function,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
30,4a4f55c3bc484557b75f,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,204,898,DB00458,imipramine,DRD2|1813|pool:18136; CHRM3|1131|pool:21334; HTR2A|3356|pool:22762; HTR1A|3350|pool:29393; ADRA1A|148|pool:44455; SLC6A4|6532|pool:30209; SLC6A2|6530|pool:38839; HTR2C|3358|pool:5069,DRD2; CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; SLC6A2; HTR2C,1813; 1131; 3356; 3350; 148; 6532; 6530; 3358,18136;21334;22762;29393;44455;30209;38839;5069,8,3.429042480301473,2.179149537512847,7.672790339157245,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE1|PHASE2;PHASE3,NCT00296725;NCT02374567,https://clinicaltrials.gov/study/NCT00296725;https://clinicaltrials.gov/study/NCT02374567,Dichotic Listening as a Predictor of Medication Response in Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
31,09a61f9c1cfe10648733,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,259,953,DB00555,lamotrigine,DRD2|1813|pool:18244; HTR2A|3356|pool:22837; ADRA1A|148|pool:44470,DRD2; HTR2A; ADRA1A,1813; 3356; 148,18244;22837;44470,3,3.1260705721137376,1.4682896539910928,7.4849049331963,10,False,False,True,broader_narrower_depressive_spectrum,5,PHASE2;PHASE3,NCT00224510;NCT00475137;NCT00652171;NCT01042496;NCT02374567,https://clinicaltrials.gov/study/NCT00224510;https://clinicaltrials.gov/study/NCT00475137;https://clinicaltrials.gov/study/NCT00652171;https://clinicaltrials.gov/study/NCT01042496;https://clinicaltrials.gov/study/NCT02374567,A Study To Investigate The Antidepressant Effect Of Lamotrigine In Patients With Bipolar Disorder Using Lithium,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
32,67b5982831623a34f977,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1214,1908,DB01403,levomepromazine,DRD2|1813|pool:19252; HTR2A|3356|pool:23601; CHRM3|1131|pool:21865; HTR2C|3358|pool:5369; ADRA1A|148|pool:44708; DRD3|1814|pool:17856; DRD4|1815|pool:19656,DRD2; HTR2A; CHRM3; HTR2C; ADRA1A; DRD3; DRD4,1813; 3356; 1131; 3358; 148; 1814; 1815,19252;23601;21865;5369;44708;17856;19656,7,3.8711887632750943,2.680177286742035,8.083890030832478,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
