candidate_index,condition_group,pool_index_zero_based,global_triplet_disease_drug_gene,disease_label,disease_cui,disease_mesh,disease_local_global_id,drug_name,drugbank_id,drug_local_id,drug_global_id,gene_symbol,gene_entrez_id,gene_local_id,gene_global_id,median_top_percent,q1_top_percent,q3_top_percent,min_top_percent,max_top_percent,hard_clique_positive_seeds,min_ties,max_ties,stored_drug_gene_edge,stored_gene_disease_edge,stored_drug_disease_edge,cycles_label_present,supervised_any_seed,raw_drug_gene_exact,raw_gene_disease_exact_cui,gene_disease_provenance,hierarchy_specificity_flag,raw_drug_disease_exact_cui,disease_cui_source,candidate_conflicting_cui,seed_0_top_percent,seed_0_rank,seed_0_hard_clique,seed_10_top_percent,seed_10_rank,seed_10_hard_clique,seed_20_top_percent,seed_20_rank,seed_20_hard_clique,seed_30_top_percent,seed_30_rank,seed_30_hard_clique,seed_40_top_percent,seed_40_rank,seed_40_hard_clique,seed_50_top_percent,seed_50_rank,seed_50_hard_clique,seed_60_top_percent,seed_60_rank,seed_60_hard_clique,seed_70_top_percent,seed_70_rank,seed_70_hard_clique,seed_80_top_percent,seed_80_rank,seed_80_hard_clique,seed_90_top_percent,seed_90_rank,seed_90_hard_clique,high_priority_top10_percent,validation_pair_id
28665,neurological_seizure,28665,"(112, 795, 4118)",Seizures,C0494475,D012640,112,Morphine,DB00295,101,795,OPRM1,4988,2152,4118,18.836716341212743,13.680841041452553,33.63095238095238,2.781346351490237,58.28622816032888,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,8.164182939362796,3813.0,True,18.180455635491608,8491.0,True,58.28622816032888,27222.0,True,18.52089756766016,8650.0,True,2.781346351490237,1299.0,True,19.15253511476533,8945.0,True,37.2494861253854,17397.0,True,12.1809695101062,5689.0,True,40.13574854402192,18745.0,True,22.775351147653307,10637.0,True,False,22763c4ddbfdd2f0ec59
45438,neurological_seizure,45438,"(112, 796, 5874)",Seizures,C0494475,D012640,112,bupivacaine,DB00297,102,796,SCN10A,6336,3908,5874,25.495674888660503,19.39501969852689,34.92687992463172,10.408102089756769,47.79890373415553,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,12.452894826995546,5816.0,True,23.165039397053786,10819.0,True,39.733213429256594,18557.0,True,19.55078794107571,9131.0,True,47.79890373415553,22324.0,True,27.826310380267216,12996.0,True,36.84695101062008,17209.0,True,19.34309695101062,9034.0,True,10.408102089756769,4861.0,True,29.166666666666668,13622.0,True,False,72dce1c54993f1ca1ffc
45997,neurological_seizure,45997,"(112, 801, 5917)",Seizures,C0494475,D012640,112,chlorthalidone,DB00310,107,801,6559,6559,3951,5917,34.63836073997945,27.5024623158616,46.01854230900993,16.296248715313464,67.62804042480302,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,34.059181226447414,15907.0,True,28.70203836930456,13405.0,True,47.7753511476533,22313.0,True,67.62804042480302,31585.0,True,16.296248715313464,7611.0,True,50.693730729701954,23676.0,True,22.931654676259,10710.0,True,35.21754025351148,16448.0,True,27.10260363138061,12658.0,True,40.74811579307982,19031.0,True,False,0b85697e7581fa542802
43699,neurological_seizure,43699,"(112, 801, 5734)",Seizures,C0494475,D012640,112,chlorthalidone,DB00310,107,801,SLC12A1,6557,3768,5734,40.37876841384036,29.299952894827,46.881423432682425,21.93174032202809,65.690304898938,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,27.47944501541624,12834.0,True,47.89525522439192,22369.0,True,43.83992805755396,20475.0,True,65.690304898938,30680.0,True,29.033915724563208,13560.0,True,43.57228502911956,20350.0,True,21.93174032202809,10243.0,True,48.4476704350805,22627.0,True,30.098064405618363,14057.0,True,37.185251798561154,17367.0,True,False,0b85697e7581fa542802
33586,neurological_seizure,33586,"(112, 802, 4504)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,GABRA1,2554,2538,4504,8.511048304213771,5.66118533744433,10.735697156560466,0.4068174032202809,20.05395683453237,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,4.6120246659815,2154.0,True,7.594638574854402,3547.0,True,9.637290167865707,4501.0,True,5.016700924974306,2343.0,True,0.4068174032202809,190.0,True,11.386605001712915,5318.0,True,20.05395683453237,9366.0,True,9.181226447413495,4288.0,True,7.840870161014046,3662.0,True,11.10183281945872,5185.0,True,True,cf8950f918141be53964
45123,neurological_seizure,45123,"(112, 802, 5869)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,2566,2566,3903,5869,9.96809695101062,8.652899109284,16.125492463172318,0.4667694415895855,20.829051044878383,10,1,1,True,True,False,False,False,True,True,raw_exact_cui,False,False,dise_info,,6.982271325796505,3261.0,True,8.543165467625899,3990.0,True,8.982100034258307,4195.0,True,9.74220623501199,4550.0,True,0.4667694415895855,218.0,True,16.420435080507023,7669.0,True,20.829051044878383,9728.0,True,15.240664611168208,7118.0,True,10.19398766700925,4761.0,True,18.606543336759163,8690.0,True,True,cf8950f918141be53964
42940,neurological_seizure,42940,"(112, 802, 5634)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,GABRA5,2558,3668,5634,13.20871873929428,10.16963215142172,16.384035628639946,1.498800959232614,26.15621788283659,10,1,2,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,8.15775950668037,3810.0,True,9.796805412812606,4575.5,True,12.936793422404934,6042.0,True,13.480644056183625,6296.0,True,1.498800959232614,700.0,True,16.553186022610483,7731.0,True,26.15621788283659,12216.0,True,15.876584446728332,7415.0,True,11.288112367249058,5272.0,True,17.473878040424804,8161.0,True,False,cf8950f918141be53964
8238,neurological_seizure,8238,"(112, 802, 2549)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,GABRD,2563,583,2549,14.25787941075711,10.643627954779037,18.51126241863652,1.9120417951353204,26.90561836245289,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,8.964970880438507,4187.0,True,10.545135320315175,4925.0,True,18.37315861596437,8581.0,True,15.118619390202124,7061.0,True,1.9120417951353204,893.0,True,18.55729701952724,8667.0,True,26.90561836245289,12566.0,True,13.397139431312093,6257.0,True,10.939105858170606,5109.0,True,19.934052757793765,9310.0,True,False,cf8950f918141be53964
20834,neurological_seizure,20834,"(112, 802, 3444)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,GRIN2B,2904,1478,3444,23.78275950668037,14.561386605001712,31.14990150736553,3.81980130181569,40.08864337101747,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,17.219081877355258,8042.0,True,31.309952038369303,14623.0,True,22.14371360054813,10342.0,True,40.08864337101747,18723.0,True,3.81980130181569,1784.0,True,30.66974991435423,14324.0,True,13.675488180883864,6387.0,True,25.421805412812606,11873.0,True,12.5,5838.0,True,35.72070914696814,16683.0,True,False,cf8950f918141be53964
44160,neurological_seizure,44160,"(112, 802, 5771)",Seizures,C0494475,D012640,112,Pentobarbital,DB00312,108,802,2903,2903,3805,5771,27.06192189105858,15.62981757451182,30.159622302158272,4.656988694758479,43.73715313463515,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,23.252826310380268,10860.0,True,29.88180883864337,13956.0,True,30.252226789996573,14129.0,True,43.73715313463515,20427.0,True,4.656988694758479,2175.0,True,29.522096608427542,13788.0,True,13.045991778006169,6093.0,True,24.60174717368962,11490.0,True,13.08881466255567,6113.0,True,33.50890715998629,15650.0,True,False,cf8950f918141be53964
10477,neurological_seizure,10477,"(112, 805, 2951)",Seizures,C0494475,D012640,112,paracetamol,DB00316,111,805,PTGS2,5743,985,2951,3.619604316546763,1.736467968482357,12.888082391229872,0.2976190476190476,61.08470366563892,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,2.455892428914012,1147.0,True,13.178742720109629,6155.0,True,12.016101404590612,5612.0,True,1.3681911613566289,639.0,True,0.2976190476190476,139.0,True,1.496659815005139,699.0,True,61.08470366563892,28529.0,True,4.449297704693389,2078.0,True,13.491349777321,6301.0,True,2.789910928400137,1303.0,True,True,e1e6e2e61175f154c15d
28680,neurological_seizure,28680,"(112, 807, 4118)",Seizures,C0494475,D012640,112,Codeine,DB00318,113,807,OPRM1,4988,2152,4118,18.744647139431315,12.88005310037684,32.18193302500856,2.646454265159301,52.121873929427885,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,7.401935594381637,3457.0,True,18.07125727989037,8440.0,True,52.121873929427885,24343.0,True,17.11630695443645,7994.0,True,2.646454265159301,1236.0,True,19.41803699897225,9069.0,True,39.01164782459747,18220.0,True,11.467968482356971,5356.0,True,35.60936964713943,16631.0,True,21.899623158615963,10228.0,True,False,7bb969a864c1bd7a9d9f
9900,neurological_seizure,9900,"(112, 808, 2934)",Seizures,C0494475,D012640,112,dihydroergotamine,DB00320,114,808,HTR1B,3351,968,2934,15.64319972593354,14.17383949982871,22.975012846865365,3.4408187735525866,55.22867420349435,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,9.80858170606372,4581.0,True,14.339242891401163,6697.0,True,55.22867420349435,25794.0,True,14.118705035971225,6594.0,True,3.4408187735525866,1607.0,True,22.501284686536486,10509.0,True,39.82100034258308,18598.0,True,16.330507022953068,7627.0,True,14.955892428914012,6985.0,True,23.13292223364165,10804.0,True,False,b141ed4423abaea3a6e9
41443,neurological_seizure,41443,"(112, 809, 5381)",Seizures,C0494475,D012640,112,amitriptyline,DB00321,115,809,CHRM1,1128,3415,5381,8.001455978074683,4.912855429941761,17.768820657759505,0.0856457690990065,26.11981843096951,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,2.068345323741007,966.0,True,6.020897567660158,2812.0,True,8.331192189105858,3891.0,True,7.671719767043508,3583.0,True,0.0856457690990065,40.0,True,26.11981843096951,12199.0,True,18.51875642343268,8649.0,True,25.289054470709143,11811.0,True,4.543508050702295,2122.0,True,15.51901336073998,7248.0,True,True,34804ed7abf963485255
24400,neurological_seizure,24400,"(112, 809, 3550)",Seizures,C0494475,D012640,112,amitriptyline,DB00321,115,809,ADRA1B,147,1584,3550,11.797704693388146,5.429941760877012,22.783915724563208,1.7064919492977046,35.79136690647482,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,5.012418636519356,2341.0,True,8.093525179856115,3780.0,True,35.79136690647482,16716.0,True,6.682511133949983,3121.0,True,1.7064919492977046,797.0,True,27.79847550531004,12983.0,True,20.882579650565265,9753.0,True,23.417694415895856,10937.0,True,4.248030147310723,1984.0,True,15.501884206920176,7240.0,True,False,34804ed7abf963485255
38801,neurological_seizure,38801,"(112, 809, 5070)",Seizures,C0494475,D012640,112,amitriptyline,DB00321,115,809,SLC6A2,6530,3104,5070,14.84669407331278,7.115557553956835,21.93441675231244,0.4389345666324084,41.977132579650565,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,6.633264816718055,3098.0,True,8.562435765673175,3999.0,True,41.977132579650565,19605.0,True,10.799931483384722,5044.0,True,0.4389345666324084,205.0,True,22.147995889003084,10344.0,True,21.29367934224049,9945.0,True,22.18011305241521,10359.0,True,5.738266529633436,2680.0,True,18.89345666324084,8824.0,True,False,34804ed7abf963485255
28695,neurological_seizure,28695,"(112, 809, 4118)",Seizures,C0494475,D012640,112,amitriptyline,DB00321,115,809,OPRM1,4988,2152,4118,17.02852004110997,12.94214628297362,20.90773809523809,0.1498800959232614,35.90056526207605,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,6.455549845837616,3015.0,True,14.68610825625214,6859.0,True,35.90056526207605,16767.0,True,23.12435765673176,10800.0,True,0.1498800959232614,70.0,True,21.0602946214457,9836.0,True,19.12684138403563,8933.0,True,14.93019869818431,6973.0,True,12.360825625214114,5773.0,True,20.45006851661528,9551.0,True,False,34804ed7abf963485255
9908,neurological_seizure,9908,"(112, 809, 2934)",Seizures,C0494475,D012640,112,amitriptyline,DB00321,115,809,HTR1B,3351,968,2934,17.44711373758136,9.106286399451868,23.522610483042136,1.1776293251113394,39.180798218568,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,8.10423090099349,3785.0,True,12.112452894826996,5657.0,True,39.180798218568,18299.0,True,17.148424117848577,8009.0,True,1.1776293251113394,550.0,True,24.254881808838643,11328.0,True,24.758050702295307,11563.0,True,17.74580335731415,8288.0,True,6.5818773552586505,3074.0,True,21.325796505652622,9960.0,True,False,34804ed7abf963485255
28709,neurological_seizure,28709,"(112, 814, 4118)",Seizures,C0494475,D012640,112,Hydromorphone,DB00327,120,814,OPRM1,4988,2152,4118,18.805669749914355,14.57102175402535,31.57331277834875,4.584189791024324,61.96685508735868,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,8.187735525865023,3824.0,True,18.079821856800272,8444.0,True,61.96685508735868,28941.0,True,18.50162726961288,8641.0,True,4.584189791024324,2141.0,True,19.109712230215827,8925.0,True,41.107828023295646,19199.0,True,13.401421719767043,6259.0,True,34.45529290853032,16092.0,True,22.92737238780404,10708.0,True,False,538752dd6b03f6894b1e
10537,neurological_seizure,10537,"(112, 815, 2951)",Seizures,C0494475,D012640,112,indomethacin,DB00328,121,815,PTGS2,5743,985,2951,4.066032887975334,1.789996574169236,12.262868276807126,0.2098321342925659,61.273124357656734,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,3.648509763617677,1704.0,True,10.909129838985956,5095.0,True,15.53186022610483,7254.0,True,1.209746488523467,565.0,True,0.2098321342925659,98.0,True,1.5202124015073657,710.0,True,61.273124357656734,28617.0,True,4.483556012332991,2094.0,True,12.714114422747516,5938.0,True,2.5993490921548474,1214.0,True,True,c265714ec0d0a8cb69c2
41447,neurological_seizure,41447,"(112, 817, 5381)",Seizures,C0494475,D012640,112,ipratropium,DB00332,123,817,CHRM1,1128,3415,5381,9.103074683110654,5.358748715313464,17.654804727646454,0.8350462487153134,23.58470366563892,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,1.924888660500172,899.0,True,7.438335046248715,3474.0,True,7.969338814662556,3722.0,True,4.665553271668379,2179.0,True,0.8350462487153134,390.0,True,18.92343268242549,8838.0,True,23.58470366563892,11015.0,True,22.81389174374786,10655.0,True,13.848920863309353,6468.0,True,10.236810551558753,4781.0,True,True,f5517bc9e2620d245089
41451,neurological_seizure,41451,"(112, 818, 5381)",Seizures,C0494475,D012640,112,olanzapine,DB00334,124,818,CHRM1,1128,3415,5381,7.18889174374786,3.050059952038369,18.67184823569716,0.1049160671462829,27.29744775608085,10,1,1,True,True,False,False,False,True,False,hierarchy_or_normalization_only,True,False,dise_info,,2.1882494004796165,1022.0,True,4.999571771154505,2335.0,True,6.862367249057897,3205.0,True,7.515416238437822,3510.0,True,0.1049160671462829,49.0,True,27.29744775608085,12749.0,True,24.98715313463515,11670.0,True,19.80986639260021,9252.0,True,2.400222678999657,1121.0,True,15.25779376498801,7126.0,True,True,c65e39dd30ac6b1b359c
