,dise_Name,dise_id,dise_MeSH,dise_MS_no
116,hyperglycemia,C0020456,D006943,97
117,Diabetic Neuropathies,C0011882,D003929,35
118,Growth Disorders,C0018273,D006130,632
119,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,D003924,76
120,endometriosis,C0014175,D004715,1
121,Insulin Resistance,C0021655,D024821,599
122,Esophageal Neoplasms,C0014859,D004938,370
123,Head And Neck Neoplasms,C0018671,D006258,250
124,thiamine deficiency,C0039841,D013832,68
125,Tonic-Clonic Epilepsy,C0014549,D004830,194
126,chronic renal failure,C0022661,D007676,53
127,Focal Glomerulosclerosis,C0017668,D005923,22
128,chronic lymphocytic leukemia (CLL),C0023434,D015451,185
129,follicular lymphoma,C0024301,D008224,249
130,"Dermatitis, Allergic Contact",C0162820,D017449,568
131,Pathologic Neovascularization,C0027686,D009389,659
132,Microalbuminuria,C0730345,D003928,77
133,Uremia,C0041948,D014511,14
134,"Epilepsy, Temporal Lobe",C0014556,D004833,196
135,Wilson's disease,C0019202,D006527,606
136,Male Infertility,C0021364,D007248,505
137,Female Infertility,C0021361,D007247,5
138,"Carcinoma, Small Cell",C0262584,D018288,356
139,erectile dysfunction,C0242350,D007172,142
140,Testicular Hypogonadism,C0151721,D005058,419
141,Myeloproliferative Disease,C0027022,D009196,209
142,Pulmonary Fibrosis,C0034069,D054990,610
143,"Osteoporosis, Postmenopausal",C0029458,D015663,69
144,Primary Biliary Cirrhosis,C0008312,D008105,578
145,Berylliosis,C0005138,D001607,354
146,"Thrombocythemia, Essential",C0040028,D013920,208
147,Peyronie's disease,C0030848,D010411,585
148,Chronic Obstructive Airway Disease,C0024117,D029424,274
149,dry eye syndrome,C0013238,D015352,19
150,Venous Thromboembolism,C1861172,D054556,615
151,Kidney; Damage,C1408258,D051437,506
152,oligomenorrhea,C0028949,D009839,660
153,ocular hypertension,C0028840,D009798,127
154,Respiratory Hypersensitivity,C0035228,D012130,384
155,Atrioventricular Block,C0004245,D054537,535
156,joint pain,C0003862,D018771,45
157,Extrapyramidal Disorders,C0015371,D001480,189
158,Kidney Failure,C0035078,D058186,157
159,Sleeplessness,C0917801,D007319,40
160,"Hypertension, Renovascular",C0020545,D006978,396
161,Gastric Ulcer,C0038358,D013276,276
162,Prostatic Hyperplasia,C2937421,D011470,9
163,Malignant Hyperpyrexia Due To Anesthesia,C0024591,D008305,561
164,amyotrophic lateral sclerosis (ALS),C0002736,D000690,463
165,Xerostomia,C0043352,D014987,541
166,Huntington's disease,C0020179,D006816,101
167,Trigeminal Neuralgia,C0040997,D014277,104
168,"Dermatitis, Atopic",C0011615,D003876,174
169,Hiv Wasting Syndrome,C0343755,D019247,636
170,Arsenic Poisoning,C0311375,D020261,602
171,Dermatologic disorders,C0037274,D012871,343
172,dermatomyositis,C0011633,D003882,425
173,Prader-Willi Syndrome,C0032897,D011218,574
174,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,C1961099,D054218,573
175,esophageal varices,C0014867,D004932,661
176,Transient Cerebral Ischemia,C0917805,D002546,452
177,Thrombocytosis,C0836924,D013922,210
178,polycythemia vera,C0032463,D011087,211
179,dizziness,C0012833,D014717,303
180,Thyroid Neoplasm,C0040136,D013964,232
181,Primary Hypogonadism,C0948896,D007006,247
182,Familial generalized lipodystrophy,C0221032,D052497,662
183,Premature Menopause,C0025322,D008594,440
184,Peripheral Vascular Diseases,C0085096,D016491,454
185,Sinoatrial Block,C0037188,D012848,620
186,hypothyroidism,C0020676,D007037,231
187,Pulmonary Emphysema,C0034067,D011656,227
188,Hyperphosphatemia,C0085681,D054559,614
189,heart block,C0018794,D006327,447
190,Kidney Neoplasm,C0022665,D007680,388
191,Keratoconjunctivitis Sicca,C0022575,D007638,20
192,Hypoalphalipoproteinemias,C0473527,D052456,176
193,Intermittent Claudication,C0021775,D007383,484
194,Atrial Flutter,C0004239,D001282,235
195,"Fetal Membranes, Premature Rupture",C0015944,D005322,663
196,multiple myeloma,C0026764,D009101,118
197,Immune Thrombocytopenic Purpura,C0398650,D016553,629
198,multiple sclerosis,C0026769,D020529,558
199,Aphthous Stomatitis,C0038363,D013281,412
200,"Granulomatous Disease, Chronic",C0018203,D006105,670
201,Testicular Neoplasms,C0039590,D013736,253
202,Acute Monocytic Leukemia,C0023465,D007948,457
203,Acute Myelomonocytic Leukemia,C0023479,D015479,664
204,Disorder of eye,C0015397,D005128,337
205,"Hypotension, Orthostatic",C0020651,D007024,151
206,Gaucher disease,C0017205,D005776,319
207,Diabetic Angiopathies,C0011875,D003925,485
208,Cystitis,C0010692,D018856,326
209,hyperthyroidism,C0020550,D006980,134
210,inflammatory bowel disease,C0021390,D015212,180
211,Follicular thyroid carcinoma,C0206682,D018263,612
212,Hemorrhagic Disorders,C0019087,D006474,527
213,B-Cell Lymphomas,C0079731,D016393,611
214,Sialorrhea,C0037036,D012798,324
215,Dyskinetic Syndrome,C0013384,D020820,145
216,Hodgkin's lymphoma,C0019829,D008228,186
217,Pre-Eclampsia,C0032914,D011225,400
218,"Polycystic Kidney, Autosomal Dominant",C0085413,D016891,595
219,Cushing's syndrome,C0010481,D003480,287
220,Irregular Periods,C0156404,D008599,628
221,Congenital Hypothyroidism,C0010308,D003409,229
222,Streptococcal Pneumonia,C0155862,D011018,130
223,Blind Vision,C0456909,D001766,536
224,"Ovarian Failure, Premature",C0085215,D016649,441
225,Adrenal Gland Hypofunction,C0001623,D000309,416
226,"Ventricular Dysfunction, Left",C0242698,D018487,95
227,Corneal Ulcer,C0010043,D003320,200
228,Hyperpigmentation,C0162834,D017495,468
229,"Carcinoma, Pancreatic Ductal",C0887833,D021441,336
230,Malignant Neoplasm Of Prostate,C0376358,D011471,2
231,sjogren's syndrome,C1527336,D012859,496
232,Tumors Of Adrenal Cortex,C0001618,D000306,434
233,Orchitis,C0029191,D009920,617
234,Congenital Hypoplastic Anemia,C0949116,D029503,353
235,Acute Basophilic Leukemia,C0023437,D015471,284
236,Oral Ulcer,C0149745,D019226,542
237,Familial Mediterranean Fever,C0031069,D010505,575
238,vitamin D deficiency,C0042870,D014808,56
239,Hemarthrosis,C0018924,D006395,12
240,Tonic - clonic seizures,C0494475,D012640,112
241,Hemophilia A,C0019069,D006467,10
242,Citrullinemia,C0175683,D020159,605
243,Brain Edema,C1527311,D001929,339
244,Cerebral Edema,C0006114,D006501,521
245,Age Related Macular Degeneration,C0242383,D008268,666
246,seasonal affective disorder,C0085159,D016574,293
247,Alcohol Withdrawal Delirium,C0001957,D000430,363
248,Bone Neoplasms,C0005967,D001859,313
249,Pleural Effusion Disorder,C0032227,D010996,206
250,vitiligo,C0042900,D014820,383
251,spinocerebellar ataxia,C0087012,D020754,665
252,Zellweger syndrome,C0043459,D015211,584
253,Biliary Tract Diseases,C0005424,D001660,581
254,Esotropia,C0014877,D004948,534
255,hyperuricemia,C0740394,D033461,333
256,Herpes Encephalitis,C0276226,D020803,479
257,Autoimmune Hemolytic Anemia,C0002880,D000744,350
258,Paroxysmal Atrial Fibrillation,C0235480,D001281,116
259,carcinoid tumors,C0007095,D002276,32
260,Pituitary Neoplasms,C0032019,D010911,30
261,"Respiratory Distress Syndrome, Adult",C0035222,D012128,517
262,blepharitis,C0005741,D001762,267
263,Exfoliative Dermatitis,C0011606,D003873,344
264,Drug Allergy,C0013182,D004342,202
265,Urolithiasis,C0451641,D052878,492
266,Lactose Intolerance,C0022951,D007787,587
267,Rhinitis,C0035455,D065631,62
268,hyponatremia,C0020625,D007010,500
269,Dacryocystitis,C0010930,D003607,482
270,Wolff-Parkinson-White Syndrome (WPW),C0043202,D014927,430
271,Supraventricular Tachycardia,C0039240,D017180,16
272,Pulmonary Edema,C0034063,D011654,160
273,Absence Epilepsy,C0014553,D004832,110
274,Lennox-Gastaut Syndrome,C0238111,D065768,109
275,"Hepatitis B, Chronic",C0524909,D019694,254
276,kidney stones,C0022650,D007669,335
277,Bartter Disease,C0004775,D001477,397
278,hyperaldosteronism,C0020428,D006929,323
279,amblyopia,C0002418,D000550,621
280,neurogenic bladder,C0005697,D001750,99
281,Gingival Diseases,C0017563,D005882,414
282,Schizoaffective Disorder,C0036337,D011618,143
283,cervical cancer,C4048328,D002583,529
284,homocystinuria,C0019880,D006712,601
285,Deficiency of mevalonate kinase,C0342731,D054078,667
286,narcolepsy,C0027404,D009290,108
287,dyslipidemia,C0242339,D050171,543
288,"Dyskinesia, Drug-Induced",C0013386,D004409,508
289,panic disorders,C0030319,D016584,114
290,Angle Closure Glaucoma,C0017605,D015812,459
291,"Neoplasms, Hormone-Dependent",C0027661,D009376,288
292,"Bronchitis, Chronic",C0008677,D029481,164
293,dyspareunia,C1384606,D004414,246
294,onychomycosis,C0040261,D014009,314
295,Septic Shock,C0036983,D012772,292
296,Pityriasis Rubra Pilaris,C0032027,D010916,515
297,Postoperative Complications,C0032787,D011183,538
298,"Anemia, Sickle Cell",C0002895,D000755,523
299,Nasal Polyps,C0027430,D009298,306
300,Premature Ventricular Contractions,C0151636,D018879,236
301,Torsades De Pointes,C0040479,D016171,439
302,iron overload,C0282193,D019190,466
303,"Arthritis, Gouty",C0003868,D015210,273
304,megaloblastic anemia,C0002888,D000749,73
305,Secondary Parkinson Disease,C0030569,D010302,565
306,"Alcohol-Induced Disorders, Nervous System",C0751865,D020268,392
