"panel","endpoint","test","alternative","baseline","diseases","pair_clusters","motifs","hanami_mean","baseline_mean","mean_difference","cluster_robust_se","ci_low","ci_high","df","t","p_raw","significance"
"a","Unique-best motif indicator","One-sided CR1 cluster-robust t test","HANAMI unique-best proportion > TriMoGCL unique-best proportion","TriMoGCL",109,785,1630,0.321472392638037,0.252760736196319,0.0687116564417178,0.0316536410422515,0.00657573513312915,0.130847577750306,784,2.17073468262312,0.0151253264000526,"*"
"b","Mean motif rank percentile","One-sided CR1 cluster-robust t test","HANAMI mean percentile < TriMoGCL mean percentile","TriMoGCL",109,785,1630,35.6925691261184,36.577397109483,-0.884827983364601,0.429894154620941,-1.72870781781694,-0.0409481489122584,784,-2.05824613769126,0.0199482574390034,"*"
